Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,Number_of_valued_Kneset_members_isNull,Yearly_IncomeK_isNull,Overall_happiness_score_isNull,Avg_Satisfaction_with_previous_vote_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Weighted_education_rank_isNull,Most_Important_Issue_int,Will_vote_only_large_party_int
0.636363636364,1.42452667093,0.0430440768003,2.95762310636,-0.949021763723,210.695886717,0,0,0,0,0,0,1,2
0.636363636364,-1.10785619207,1.80206953201,1.9655386622,-2.83065853373,540.592180981,0,0,0,0,0,0,2,2
0.818181818182,-1.65672791699,0.381043556985,2.03389047553,0.69589458866,236.563215402,0,0,0,0,0,0,1,2
0.181818181818,-0.173742497517,0.278161929946,-0.510453993047,0.359331316513,96.8109671318,0,0,0,0,0,0,3,0
0.545454545455,0.030968861724,-0.142361554838,-0.499125215844,1.09443007669,79.766263389,0,0,0,0,0,0,6,0
0.909090909091,-0.280212741347,0.130518230575,-0.604110664055,0.855773411976,92.5287300098,0,0,0,0,0,0,0,1
1.0,0.556034653252,1.17063600609,-0.736967922248,-0.853874949292,244.184149433,0,0,0,0,0,0,0,1
0.272727272727,2.2092011683,0.0124424759131,-0.293972847053,2.35567299297,271.907255352,0,0,0,0,0,0,1,1
0.545454545455,0.233808859904,1.34573622443,1.3763778602,-1.76089170959,362.193010682,0,0,0,0,0,0,4,2
0.454545454545,1.24911450078,1.3208120119,1.06522171951,-1.15998497341,295.676777683,0,0,0,0,0,0,7,2
0.181818181818,-0.672344184713,1.23471217829,-0.92935957201,0.225188018798,148.348151301,0,0,1,0,0,0,3,0
0.272727272727,0.786325067011,-0.655413811982,-0.810863937469,0.860446632312,88.6598146077,0,0,0,0,0,0,3,0
0.0909090909091,-0.247383540653,-0.799383554624,-0.843476990927,-0.585177607575,220.21282805,0,0,0,0,0,0,7,1
0.272727272727,-0.342826361693,-0.619698621218,0.145519310144,-0.555688108915,212.693429649,0,0,0,0,0,0,1,1
0.181818181818,-0.272583724083,-0.824428777961,0.445438243288,-0.635324431402,227.835710798,0,0,0,0,0,0,2,1
