Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,Vote,Number_of_valued_Kneset_members_isNull,Yearly_IncomeK_isNull,Overall_happiness_score_isNull,Avg_Satisfaction_with_previous_vote_isNull,Garden_sqr_meter_per_person_in_residancy_area_isNull,Weighted_education_rank_isNull,Most_Important_Issue_int,Will_vote_only_large_party_int
0.272727272727,0.290744991557,-0.32034525602,0.66782688229,0.832953326449,57.7253069263,Browns,0,0,0,0,0,0,4,1
0.727272727273,-1.82523293359,-1.48210220672,-0.967490478614,1.09632172206,312.669317392,Yellows,0,0,0,0,0,0,0,2
0.636363636364,-0.105585876428,-0.273424919757,-0.385357360911,-0.203807220783,149.914458769,Purples,0,0,0,0,0,0,0,1
0.636363636364,0.34778896736,1.38753802427,-0.208013967541,-0.958001274673,270.23214714,Greens,0,0,0,0,0,0,7,1
0.454545454545,-0.0901575292473,-0.275387715275,-0.791417200029,0.0880283462947,118.979931186,Purples,0,0,0,0,0,0,7,1
0.0909090909091,0.349286058422,-0.0684123074579,0.424019565516,0.916449379721,39.1504444183,Browns,0,0,0,0,0,0,7,1
0.363636363636,1.91170680677,-0.194715740403,-0.429231995969,2.13258187802,231.824059553,Pinks,0,0,0,0,0,0,4,1
0.545454545455,-0.270076940254,-4.24658797641,1.68000399076,-1.45198335681,581.047778431,Blues,0,0,0,0,0,0,7,2
0.227272727273,0.0366049640022,-0.12290748358,-0.475884939895,0.63605887322,64.2694523219,Browns,1,0,0,0,0,0,2,1
0.727272727273,1.83353946138,-1.49007273597,3.75057841965,-2.6610938295,500.790599082,Blues,0,0,0,0,0,0,1,2
0.363636363636,0.132030552485,-0.15363857257,0.00697779339798,0.731696556074,55.4890441398,Browns,0,0,0,0,0,0,1,1
0.181818181818,-0.176295573982,-0.333182870461,-0.746972740226,0.140683140355,122.304179287,Reds,0,0,0,0,0,0,3,0
0.454545454545,-0.75737406264,-0.697096214238,1.0550318049,0.0463823021543,190.124339399,Purples,0,0,0,0,0,0,7,1
0.636363636364,2.329460783,-2.84474663249,1.29508444598,-1.35663055361,470.64234956,Blues,0,0,0,0,0,0,2,2
0.727272727273,-0.966189288862,-0.670538193541,-1.43277592206,1.46015748331,207.326082401,Yellows,0,0,0,0,0,0,0,2
1.0,0.688641887358,1.76264690189,0.70879809787,-0.910350394295,290.333645957,Greens,0,0,0,0,0,0,0,1
0.181818181818,-0.721504039392,-0.959260818103,-1.00105600735,-0.836122384603,276.208996822,Browns,0,0,0,0,0,0,4,1
0.454545454545,0.10728640919,-0.254902989092,-0.22326045362,0.462533243575,73.6243496278,Purples,0,0,0,0,0,0,2,1
0.454545454545,0.706129593843,1.25651807595,0.229651743973,-0.983870884827,264.188067499,Greens,0,0,0,0,0,0,7,1
0.181818181818,-0.507935008379,-1.27640476908,-0.455286747473,0.618923245415,194.209355461,Oranges,0,0,0,0,0,0,6,0
0.636363636364,-0.0559175117438,-0.443108889054,-0.792756003541,-0.235297226087,157.405360406,Purples,0,0,0,0,0,0,1,1
